127.0.0.1 - - [10/Jul/2019:09:00:34 -0300] "GET / HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:00:38 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 4612
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:00:40 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:00:40 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:00:40 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:01:31 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 10726
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:01:31 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:01:31 -0300] "GET /Petshops/img/icone.jfif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:01:31 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:01:31 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:01:31 -0300] "GET /Petshops/imagens/logo-pegasus.png HTTP/1.1" 200 7290
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:01:32 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:01:41 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 10726
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:01:42 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:01:42 -0300] "GET /Petshops/img/icone.jfif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:01:42 -0300] "GET /Petshops/imagens/logo-pegasus.png HTTP/1.1" 200 7290
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:01:42 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:01:42 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:01:42 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:01:43 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:01:43 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:01:44 -0300] "GET /Petshops/favicon.ico.ico HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:09:51 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 10736
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:09:51 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:09:51 -0300] "GET /Petshops/imagens/logo-pegasus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:09:51 -0300] "GET /Petshops/img/icone.jfif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:09:51 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:09:51 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:09:09:52 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
